Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,"Success
",F9 FT,Success,23,23
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,24,24
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,SES,Success,F9 FT,Success,25,25
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NRO,"Success
",F9 FT,Success,26,26
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,Inmarsat,"Success
",F9 FT,No attempt,27,27
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,NASA,"Success
",F9 FT,Success,28,28
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Bulsatcom,"Success
",F9 FT,Success,29,29
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,30,30
31,KSC,EchoStar 23,"5,600 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,31,31
32,KSC,SES-10,"5,300 kg",GTO,NASA,"Success
",F9 FT♺,Success,32,32
33,KSC,NROL-76,C,LEO,NSPO,"Success
",F9 FT,Success,33,33
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,USAF,"Success
",F9 FT,Success,34,34
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,35,35
36,KSC,BulgariaSat-1,"3,669 kg",GTO,SES S.A.,"Success
",F9 FTB1029.2,Success,36,36
37,VAFB,Iridium NEXT,"9,600 kg",LEO,KT Corporation,"Success
",F9 FT,Success,37,37
38,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",F9 FT,Success,38,38
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,Iridium Communications,Success,F9 B4,Controlled,39,39
40,VAFB,Formosat-5,475 kg,SSO,Northrop Grumman,Success,F9 FT,Success,40,40
41,KSC,Boeing X-37B,"4,990 kg",LEO,SES,Success,F9 B4,Controlled,41,41
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Hisdesat,Success,F9 B4,No attempt,42,42
43,KSC,SES-11,"5,200 kg",GTO,Hispasat,Success,F9 FTB1031.2,No attempt,43,43
44,KSC,Koreasat 5A,"3,500 kg",GTO,Iridium Communications,Success,F9 B4,No attempt,44,44
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,F9 FTB1035.2,No attempt,45,45
46,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,F9 FTB1036.2,Success,46,46
47,CCAFS,Zuma,C,LEO,Thales-Alenia,Success,F9 B4,Success,47,47
48,CCAFS,GovSat-1,"4,230 kg",GTO,Iridium Communications,Success,F9 FTB1032.2,No attempt,48,48
49,VAFB,Paz,"2,150 kg",SSO,SES,Success,F9 FTB1038.2,No attempt,49,49
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,NASA,Success,F9 B4,No attempt,50,50
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Telesat,Success,F9 B4B1041.2,Success,51,51
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,Iridium Communications,Success,F9 B4B1039.2,Success,52,52
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Telkom Indonesia,Success,F9 B4,Success,53,53
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Telesat,Success,F9 B5B1046.1,Success,54,54
55,VAFB,Iridium NEXT,"6,460 kg",Polar,CONAE,Success,F9 B4B1043.2,Success,55,55
56,CCAFS,SES-12,"5,384 kg",GTO,Es'hailSat,Success,F9 B4B1040.2,Success,56,56
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Spaceflight Industries,Success,F9 B4B1045.2,Success,57,57
58,CCAFS,Telstar 19V,"7,075 kg",GTO,NASA,"Success
",F9 B5,Failure,58,58
59,VAFB,Iridium NEXT,"9,600 kg",Polar,USAF,Success,F9 B5B1048,No attempt,59,59
60,CCAFS,Merah Putih,"5,800 kg",GTO,Iridium Communications,"Success
",F9 B5B1046.2,Success,60,60
61,CCAFS,Telstar 18V,"7,060 kg",GTO,PSN,"Success
",F9 B5,Success,61,61
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,NASA,"Success
",F9 B5B1048.2,Success,62,62
63,KSC,Es'hail 2,"5,300 kg",GTO,NASA,"Success
",F9 B5B1047.2,Success,63,63
64,VAFB,SSO-A,"~4,000 kg",SSO,SpaceX,"Success
",F9 B5B1046.3,Success,64,64
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,Canadian Space Agency,"Success
",F9 B5,Success,65,65
66,CCAFS,GPS III,"4,400 kg",MEO,NASA,"Success
",F9 B5,Success,66,66
67,VAFB,Iridium NEXT,"9,600 kg",Polar,Spacecom,"Success
",F9 B5B1049.2,No attempt,67,67
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,SpaceX,"Success
",F9 B5B1048.3,Success,68,68
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5[268],Success,69,69
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5,Success,70,70
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3,Success,71,71
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",F9 B5B1051.2,"No attempt
",72,72
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",F9 B5B1056.2,Success,73,73
74,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1047.3,Failure,74,74
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,75,75
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",F9 B5,Failure,76,76
77,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3,Success,77,77
78,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,78,78
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,Success,79,79
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,80,80
81,CCAFS,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,81,81
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,Republic of Korea Army,"Success
",F9 B5,Success,82,82
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,83,83
84,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,84,84
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,CONAE,"Success
",F9 B5,Success,85,85
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,86,86
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,87,87
88,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,Success,88,88
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",F9 B5B1058.2,Success,89,89
90,KSC,Starlink,"14,932 kg",LEO,USSF,"Success
",F9 B5,Success,90,90
91,CCAFS,Starlink,"~15,440 kg",LEO,NASA,"Success
",F9 B5B1049.6,Success,91,91
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,NASA,"Success
",F9 B5,Success,92,92
93,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2,Success,93,93
94,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1058.3,Success,94,94
95,KSC,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5B1051.6,Success,95,95
96,CCAFS,Starlink,"15,600 kg",LEO,NRO,"Success
",F9 B5,Success,96,96
97,CCAFS,GPS III,"4,311 kg",MEO,Türksat,"Success
",F9 B5,Success,97,97
98,KSC,Crew-1,"~12,500 kg",LEO,SpaceX,"Success
",F9 B5,Success,98,98
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Failure,99,99
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5 ♺,Failure,100,100
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,Success,F9 B5 ♺,"No attempt
",101,101
102,CCSFS,SXM-7,"7,000 kg",GTO,NASA,"Success
",F9 B5 ♺,No attempt,102,102
103,KSC,NROL-108,C,LEO,NASA,"Success
",F9 B5 ♺,"No attempt
",103,103
104,CCSFS,Türksat 5A,"3,500 kg",GTO,MDA,Success,F9 B5,Uncontrolled,104,104
105,KSC,Starlink,"15,600 kg",LEO,SES,Success,F9 B5B1051.8,No attempt,105,105
106,CCSFS,Transporter-1,"~5,000 kg",SSO,Thaicom,Success,F9 B5B1058.5,No attempt,106,106
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 v1.0B0003.1,Controlled,1,1
2,CCAFS,Dragon,0,LEO,Orbcomm,Success,F9 v1.0B0004.1,Controlled,2,2
3,CCAFS,Dragon,525 kg,LEO,AsiaSat,Success,F9 v1.0B0005.1,No attempt,3,3
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,AsiaSat,Success,F9 v1.0B0006.1,"No attempt
",4,4
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,Success,F9 v1.0B0007.1,Uncontrolled,5,5
6,VAFB,CASSIOPE,500 kg,Polar orbit,NASA,Success,F9 v1.1B1003,Failure ,6,6
7,CCAFS,SES-8,"3,170 kg",GTO,USAF,"Success
",F9 v1.1,Controlled,7,7
8,CCAFS,Thaicom 6,"3,325 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,8,8
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Failure,9,9
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,,"Success
",F9 v1.1,No attempt,10,10
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,NASA,Failure,F9 v1.1,Precluded,11,11
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,Orbcomm,"Success
",F9 v1.1,Success,12,12
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,"Success
",F9 v1.1,Failure,13,13
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,SES,"Success
",F9 v1.1,Failure,14,14
15,Cape Canaveral,DSCOVR,570 kg,HEO,NASA,Success,F9 v1.1,Success,15,15
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,16,16
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,Thaicom,"Success
",F9 v1.1,Success,17,17
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,ABS,"Success
",F9 v1.1,Failure,18,18
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,"Success
",F9 v1.1,Success,19,19
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,20,20
21,VAFB,Jason-3,553 kg,LEO,Iridium Communications,"Success
",F9 v1.1,Success,21,21
22,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,"Success
",F9 FT,Success,22,22
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,EchoStar,"Success
",F9 FT,No attempt,23,23
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SES,Success,F9 FT,Success,24,24
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,NRO,"Success
",F9 FT,Success,25,25
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,26,26
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,27,27
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,28,28
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,29,29
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,Intelsat,"Success
",F9 FT,No attempt,30,30
31,KSC,EchoStar 23,"5,600 kg",GTO,NASA,"Success
",F9 FT,Success,31,31
32,KSC,SES-10,"5,300 kg",GTO,NSPO,"Success
",F9 FT♺,Success,32,32
33,KSC,NROL-76,C,LEO,USAF,"Success
",F9 FT,Success,33,33
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Iridium Communications,"Success
",F9 FT,Success,34,34
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,SES S.A.,"Success
",F9 FT,Success,35,35
36,KSC,BulgariaSat-1,"3,669 kg",GTO,KT Corporation,"Success
",F9 FTB1029.2,Success,36,36
37,VAFB,Iridium NEXT,"9,600 kg",LEO,NASA,"Success
",F9 FT,Success,37,37
38,KSC,Intelsat 35e,"6,761 kg",GTO,Iridium Communications,Success,F9 FT,Controlled,38,38
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,Northrop Grumman,Success,F9 B4,Success,39,39
40,VAFB,Formosat-5,475 kg,SSO,SES,Success,F9 FT,Controlled,40,40
41,KSC,Boeing X-37B,"4,990 kg",LEO,Hisdesat,Success,F9 B4,No attempt,41,41
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Hispasat,Success,F9 B4,No attempt,42,42
43,KSC,SES-11,"5,200 kg",GTO,Iridium Communications,Success,F9 FTB1031.2,No attempt,43,43
44,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,Success,F9 B4,No attempt,44,44
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,F9 FTB1035.2,Success,45,45
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Thales-Alenia,Success,F9 FTB1036.2,Success,46,46
47,CCAFS,Zuma,C,LEO,Iridium Communications,Success,F9 B4,No attempt,47,47
48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,F9 FTB1032.2,No attempt,48,48
49,VAFB,Paz,"2,150 kg",SSO,NASA,Success,F9 FTB1038.2,No attempt,49,49
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Telesat,Success,F9 B4,Success,50,50
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2,Success,51,51
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,Telkom Indonesia,Success,F9 B4B1039.2,Success,52,52
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Telesat,Success,F9 B4,Success,53,53
54,KSC,Bangabandhu-1,"3,600 kg",GTO,CONAE,Success,F9 B5B1046.1,Success,54,54
55,VAFB,Iridium NEXT,"6,460 kg",Polar,Es'hailSat,Success,F9 B4B1043.2,Success,55,55
56,CCAFS,SES-12,"5,384 kg",GTO,Spaceflight Industries,Success,F9 B4B1040.2,Success,56,56
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,"Success
",F9 B4B1045.2,Failure,57,57
58,CCAFS,Telstar 19V,"7,075 kg",GTO,USAF,Success,F9 B5,No attempt,58,58
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1048,Success,59,59
60,CCAFS,Merah Putih,"5,800 kg",GTO,PSN,"Success
",F9 B5B1046.2,Success,60,60
61,CCAFS,Telstar 18V,"7,060 kg",GTO,NASA,"Success
",F9 B5,Success,61,61
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,NASA,"Success
",F9 B5B1048.2,Success,62,62
63,KSC,Es'hail 2,"5,300 kg",GTO,SpaceX,"Success
",F9 B5B1047.2,Success,63,63
64,VAFB,SSO-A,"~4,000 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1046.3,Success,64,64
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",F9 B5,Success,65,65
66,CCAFS,GPS III,"4,400 kg",MEO,Spacecom,"Success
",F9 B5,No attempt,66,66
67,VAFB,Iridium NEXT,"9,600 kg",Polar,SpaceX,"Success
",F9 B5B1049.2,Success,67,67
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",F9 B5B1048.3,Success,68,68
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5[268],Success,69,69
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5,Success,70,70
71,CCAFS,Starlink,"13,620 kg",LEO,NASA,"Success
",F9 B5B1049.3,"No attempt
",71,71
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,SpaceX,"Success
",F9 B5B1051.2,Success,72,72
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,SpaceX,"Success
",F9 B5B1056.2,Failure,73,73
74,CCAFS,AMOS-17,"6,500 kg",GTO,NASA,"Success
",F9 B5B1047.3,Success,74,74
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,75,75
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",F9 B5,Success,76,76
77,CCAFS,JCSat-18,"6,956 kg",GTO,NASA,"Success
",F9 B5B1056.3,Success,77,77
78,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,78,78
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,Success,79,79
80,CCAFS,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,80,80
81,CCAFS,Starlink,"15,600 kg",LEO,Republic of Korea Army,"Success
",F9 B5,Success,81,81
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Success,82,82
83,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,83,83
84,KSC,Starlink,"15,600 kg",LEO,CONAE,"Success
",F9 B5,Success,84,84
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,85,85
86,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,86,86
87,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,87,87
88,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,Success,88,88
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,USSF,"Success
",F9 B5B1058.2,Success,89,89
90,KSC,Starlink,"14,932 kg",LEO,NASA,"Success
",F9 B5,Success,90,90
91,CCAFS,Starlink,"~15,440 kg",LEO,NASA,"Success
",F9 B5B1049.6,Success,91,91
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5,Success,92,92
93,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1060.2,Success,93,93
94,KSC,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5B1058.3,Success,94,94
95,KSC,Starlink,"15,600 kg",LEO,NRO,"Success
",F9 B5B1051.6,Success,95,95
96,CCAFS,Starlink,"15,600 kg",LEO,Türksat,"Success
",F9 B5,Success,96,96
97,CCAFS,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,Success,97,97
98,KSC,Crew-1,"~12,500 kg",LEO,SpaceX,"Success
",F9 B5,Failure,98,98
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,Success,F9 B5,Failure,99,99
100,CCAFS,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5 ♺,"No attempt
",100,100
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺,No attempt,101,101
102,CCSFS,SXM-7,"7,000 kg",GTO,NASA,"Success
",F9 B5 ♺,"No attempt
",102,102
103,KSC,NROL-108,C,LEO,MDA,Success,F9 B5 ♺,Uncontrolled,103,103
104,CCSFS,Türksat 5A,"3,500 kg",GTO,SES,Success,F9 B5,No attempt,104,104
105,KSC,Starlink,"15,600 kg",LEO,Thaicom,Success,F9 B5B1051.8,No attempt,105,105
106,CCSFS,Transporter-1,"~5,000 kg",SSO,NASA,"Success
",F9 B5B1058.5,Controlled,106,106
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,Orbcomm,Success,F9 v1.0B0003.1,Controlled,1,1
2,CCAFS,Dragon,0,LEO,AsiaSat,Success,F9 v1.0B0004.1,No attempt,2,2
3,CCAFS,Dragon,525 kg,LEO,AsiaSat,Success,F9 v1.0B0005.1,"No attempt
",3,3
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,F9 v1.0B0006.1,Uncontrolled,4,4
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,Success,F9 v1.0B0007.1,Failure ,5,5
6,VAFB,CASSIOPE,500 kg,Polar orbit,USAF,"Success
",F9 v1.1B1003,Controlled,6,6
7,CCAFS,SES-8,"3,170 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,7,7
8,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,"Success
",F9 v1.1,Failure,8,8
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,,"Success
",F9 v1.1,No attempt,9,9
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,NASA,Failure,F9 v1.1,Precluded,10,10
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,Orbcomm,"Success
",F9 v1.1,Success,11,11
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,"Success
",F9 v1.1,Failure,12,12
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,SES,"Success
",F9 v1.1,Failure,13,13
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Success,14,14
15,Cape Canaveral,DSCOVR,570 kg,HEO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,15,15
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,Thaicom,"Success
",F9 v1.1,Success,16,16
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,ABS,"Success
",F9 v1.1,Failure,17,17
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,"Success
",F9 v1.1,Success,18,18
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,19,19
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Iridium Communications,"Success
",F9 FT,Success,20,20
21,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 v1.1,Success,21,21
22,Cape Canaveral,SES-9,"5,271 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,22,22
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SES,Success,F9 FT,Success,23,23
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,NRO,"Success
",F9 FT,Success,24,24
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,25,25
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",F9 FT,Success,26,26
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,Bulsatcom,"Success
",F9 FT,Success,27,27
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",F9 FT,Success,28,28
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Intelsat,"Success
",F9 FT,No attempt,29,29
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,30,30
31,KSC,EchoStar 23,"5,600 kg",GTO,NSPO,"Success
",F9 FT,Success,31,31
32,KSC,SES-10,"5,300 kg",GTO,USAF,"Success
",F9 FT♺,Success,32,32
33,KSC,NROL-76,C,LEO,Iridium Communications,"Success
",F9 FT,Success,33,33
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,SES S.A.,"Success
",F9 FT,Success,34,34
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,KT Corporation,"Success
",F9 FT,Success,35,35
36,KSC,BulgariaSat-1,"3,669 kg",GTO,NASA,"Success
",F9 FTB1029.2,Success,36,36
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,Success,F9 FT,Controlled,37,37
38,KSC,Intelsat 35e,"6,761 kg",GTO,Northrop Grumman,Success,F9 FT,Success,38,38
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,SES,Success,F9 B4,Controlled,39,39
40,VAFB,Formosat-5,475 kg,SSO,Hisdesat,Success,F9 FT,No attempt,40,40
41,KSC,Boeing X-37B,"4,990 kg",LEO,Hispasat,Success,F9 B4,No attempt,41,41
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B4,No attempt,42,42
43,KSC,SES-11,"5,200 kg",GTO,NASA,Success,F9 FTB1031.2,No attempt,43,43
44,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,Success,F9 B4,Success,44,44
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Thales-Alenia,Success,F9 FTB1035.2,Success,45,45
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2,No attempt,46,46
47,CCAFS,Zuma,C,LEO,SES,Success,F9 B4,No attempt,47,47
48,CCAFS,GovSat-1,"4,230 kg",GTO,NASA,Success,F9 FTB1032.2,No attempt,48,48
49,VAFB,Paz,"2,150 kg",SSO,Telesat,Success,F9 FTB1038.2,Success,49,49
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,F9 B4,Success,50,50
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,F9 B4B1041.2,Success,51,51
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,Telesat,Success,F9 B4B1039.2,Success,52,52
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,CONAE,Success,F9 B4,Success,53,53
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Es'hailSat,Success,F9 B5B1046.1,Success,54,54
55,VAFB,Iridium NEXT,"6,460 kg",Polar,Spaceflight Industries,Success,F9 B4B1043.2,Success,55,55
56,CCAFS,SES-12,"5,384 kg",GTO,NASA,"Success
",F9 B4B1040.2,Failure,56,56
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,USAF,Success,F9 B4B1045.2,No attempt,57,57
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,"Success
",F9 B5,Success,58,58
59,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",F9 B5B1048,Success,59,59
60,CCAFS,Merah Putih,"5,800 kg",GTO,NASA,"Success
",F9 B5B1046.2,Success,60,60
61,CCAFS,Telstar 18V,"7,060 kg",GTO,NASA,"Success
",F9 B5,Success,61,61
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,SpaceX,"Success
",F9 B5B1048.2,Success,62,62
63,KSC,Es'hail 2,"5,300 kg",GTO,Canadian Space Agency,"Success
",F9 B5B1047.2,Success,63,63
64,VAFB,SSO-A,"~4,000 kg",SSO,NASA,"Success
",F9 B5B1046.3,Success,64,64
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,Spacecom,"Success
",F9 B5,No attempt,65,65
66,CCAFS,GPS III,"4,400 kg",MEO,SpaceX,"Success
",F9 B5,Success,66,66
67,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B5B1049.2,Success,67,67
